﻿Title,Institution,Profile,Memory,Planning,Action,Capability Acquisition,Social Science,Natural Science,Engineering,Subjective,Objective,Benchmark,Release Time,Publication,Code,Paper
Reflexion: Language Agents with Verbal Reinforcement Learning,"Massachusetts Institute of Technology, Northeastern University, Princeton University",,"Hybrid, Read/Write/Reflection",w/ Feedback,w/o Tools,Prompt Engineering,,,,,"Environment Simulation, Multi-task Evaluation",w/ Benchmark,2023/3/20,arxiv,https://github.com/noahshinn024/reflexion,https://arxiv.org/abs/2303.11366
DERA: Enhancing Large Language Model Completions with Dialog-Enabled Resolving Agents ,Curai Health,Handcrafting,"Hybrid, Read/Write",w/ Feedback,,,,,,Human Annotation,Multi-task Evaluation,w/ Benchmark,2023/3/30,arxiv,,https://arxiv.org/pdf/2303.17071.pdf?trk=public_post_comment-text
HuggingGPT: Solving AI Tasks with ChatGPT and itsFriends in Hugging Face,"Microsoft, Zhejiang University",,Unified,w/o Feedback,w/ Tools,,,,,,Multi-task Evaluation,w/ Benchmark,2023/3/30,arxiv,https://huggingface.co/papers/2303.17580,https://arxiv.org/abs/2303.17580
Language Models can Solve Computer Tasks ,University of California,,,w/o Feedback,w/o Tools,Prompt Engineering,,,CS&SE,,Environment Simulation,w/ Benchmark,2023/3/30,arxiv,https://github.com/posgnu/rci-agent,https://arxiv.org/abs/2303.17491
Self-Refine: Iterative Refinement with Self-Feedback,"Allen Institute for Artificial Intelligence, Brain Team, Carnegie Mellon University, Google Research, NVIDIA, UC San Diego, University of Washington",,,w/ Feedback,,Prompt Engineering,,,,,,,2023/3/30,arxiv,https://github.com/madaan/self-refine,https://arxiv.org/abs/2303.17651
BMTools,Tsinghua University,,,w/ Feedback,w/ Tools,Mechanism Engineering,,,General Autonomous Agents,,,,2023/3/31,arxiv,https://github.com/OpenBMB/BMTools,https://arxiv.org/pdf/2304.08354.pdf
CAMEL: Communicative Agents for “Mind” Exploration of Large Scale Language Model Society ,King Abdullah University of Science & Technology,"GPT-Generated, Handcrafting",,w/ Feedback,w/o Tools,,,,,,,,2023/3/31,arxiv,https://github.com/camel-ai/camel,https://arxiv.org/pdf/2303.17760.pdf
BabyAGI,,,,,,,,,General Autonomous Agents,,,,2023/4/3,Github,https://github.com/yoheinakajima/babyagi,
GPTeam:  Collaborative AI Agents,,,,,,,,,General Autonomous Agents,,,,2023/4/3,Github,https://github.com/101dotxyz/GPTeam,
REFINER: Reasoning Feedback on Intermediate Representations,École Polytechnique Fédérale de Lausanne,,,w/ Feedback,,w/ Fine-tuning,,,,,,,2023/4/4,arxiv,https://github.com/debjitpaul/refiner,https://arxiv.org/abs/2304.01904
AgentGPT,,,,,,,,,General Autonomous Agents,,,,2023/4/7,Github,https://github.com/reworkd/AgentGPT,
Generative Agents: Interactive Simulacra of Human Behavior,Stanford University,Handcrafting,"Hybrid, Read/Write/Reflection",w/ Feedback,w/o Tools,Mechanism Engineering,Social Simulation,,,"Human Annotation, Turing Test",,,2023/4/7,UIST,https://github.com/joonspk-research/generative_agents,https://arxiv.org/abs/2304.03442
AI-legion,,,,,,,,,General Autonomous Agents,,,,2023/4/10,Github,https://github.com/eumemic/ai-legion,
OpenAGI: When LLM Meets Domain Experts,Rutgers University,,,w/ Feedback,w/ Tools,w/ Fine-tuning,,,,,,,2023/4/10,arxiv,https://github.com/agiresearch/OpenAGI/blob/main/README.md,https://arxiv.org/abs/2304.04370
ChemCrow: Augmenting large-language models with chemistry tools,École Polytechnique Fédérale de Lausanne,,Unified,w/ Feedback,w/ Tools,,,"Document, Experiment Assistant",,,,,2023/4/11,arxiv,https://github.com/ur-whitelab/chemcrow-public,https://arxiv.org/abs/2304.05376
Emergent autonomous scientific research capabilities of large language models,Carnegie Mellon University,,"Hybrid, Read/Write",w/ Feedback,w/ Tools,,,"Data Management, Document, Experiment Assistant, Science Education",,,,,2023/4/11,arxiv,,https://arxiv.org/pdf/2304.05332.pdf
TeenageAGI,,,,,,,,,,,,,2023/4/11,Github,https://github.com/seanpixel/Teenage-AGI,
Toxicity in CHATGPT: Analyzing Persona-assigned Language Models ,"Georgia Tech, Princeton University, The Allen Institute for AI",Handcrafting,,,,,,,,,,,2023/4/11,arxiv,,https://arxiv.org/abs/2304.05335
Can Large Language Models Transform Computational Social Science?,"Georgia Institute of Technology, Shanghai Jiao Tong University, Stanford University",,,,,,"Political Science and Economy, Psychology, Research Assistant",,,Human Annotation,,,2023/4/12,arxiv,,https://arxiv.org/pdf/2305.03514.pdf
API-Bank: A Benchmark for Tool-Augmented LLMs,Peking University,,,w/ Feedback,w/ Tools,Prompt Engineering,,,,,,,2023/4/14,arxiv,,https://arxiv.org/abs/2304.08244
LoopGPT,,,,,,,,,General Autonomous Agents,,,,2023/4/14,Github,https://github.com/farizrahman4u/loopgpt,
GPTRPG,,,,,,,,,,,,,2023/4/15,Github,https://github.com/dzoba/gptrpg,
Self-collaboration Code Generation via ChatGPT,Peking University,Handcrafting,,w/o Feedback,w/o Tools,Mechanism Engineering,,,CS&SE,,,,2023/4/15,arxiv,,https://arxiv.org/pdf/2304.07590.pdf
Langroid,,,,,,,,,,,,,2023/4/16,Github,https://github.com/langroid/langroid,https://arxiv.org/pdf/2308.00352
AGiXT,,,,,,,,,General Autonomous Agents,,,,2023/4/17,Github,https://github.com/Josh-XT/AGiXT,
Improving Grounded Language Understanding in a Collaborative Environment by Interacting with Agents Through Help Feedback ,Purdue University,,Unified,w/ Feedback,w/o Tools,w/ Fine-tuning,,,Civil Engineering,,Environment Simulation,w/ Benchmark,2023/4/21,arxiv,,https://arxiv.org/abs/2304.10750
LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,University of Texas at Austin,,,w/o Feedback,,,,,,,,,2023/4/22,arxiv,https://github.com/Cranial-XIX/llm-pddl,https://arxiv.org/abs/2304.11477
SocraticAI,,,,,,,,,,,,,2023/4/25,Github,https://github.com/RunzheYang/SocraticAI,
Multi-Party Chat: Conversational Agents in Group Settings with Humans and Models,"Cornell University, Meta AI Research",Dataset alignment,,,,,,,,Human Annotation,Social Evaluation,w/ Benchmark,2023/4/26,arxiv,,https://arxiv.org/abs/2304.13835
Unleashing Infinite-Length Input Capacity for Large-scale Language Models with Self-Controlled Memory System,"Beihang University, ByteDance AI Lab, Harbin Institute of Technology",,"Hybrid, Read/Write/Reflection",,,,,,,Human Annotation,,,2023/4/26,arxiv,https://github.com/wbbeyourself/scm4llms,https://arxiv.org/abs/2304.13343
Industrial Engineering with Large Language Models: A case study of ChatGPT’s performance on Oil & Gas problems ,International Business Machines Corporation,,,w/o Feedback,,,,,Industrial Automation,,,,2023/4/27,arxiv,,https://arxiv.org/abs/2304.14354
Towards autonomous system: flexible modular production system enhanced with large language model agents,University of Stuttgart,Handcrafting,,w/ Feedback,w/ Tools,Prompt Engineering,,,Industrial Automation,,Software Testing,,2023/4/28,arxiv,https://github.com/YuchenXia/GPT4IndustrialAutomation,https://arxiv.org/abs/2304.14721
Learning to Reason and Memorize with Self-Notes,Meta AI,,Unified,w/o Feedback,,w/ Fine-tuning,,,,,,w/ Benchmark,2023/5/1,arxiv,,https://arxiv.org/abs/2305.00833
Workgpt,,,,,,,,,General Autonomous Agents,,,,2023/5/2,arxiv,https://github.com/team-openpm/workgpt,
"Plan, Eliminate, and Track -- Language Models are Good Teachers for Embodied Agents",Carnegie Mellon University,,Unified,w/ Feedback,w/o Tools,Prompt Engineering,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023/5/3,arxiv,,https://arxiv.org/abs/2305.02412
AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors in Agents,Tsinghua University,GPT-Generated,"Hybrid, Read/Write",,w/o Tools,,,,General Autonomous Agents,,,,2023/5/6,arxiv,https://github.com/OpenBMB/AgentVerse,https://arxiv.org/abs/2308.10848
Can Generative AI Improve Social Science Research?,Duke University,,,,,,Research Assistant,,,,,,2023/5/12,osf.io,,https://osf.io/rwtzs/download
 SmolModels,,,,,,,,,CS&SE,,,,2023/5/13,Github,https://github.com/smol-ai/developer,
SuperAGI,,,,,,,,,General Autonomous Agents,,,,2023/5/13,Github,https://github.com/TransformerOptimus/SuperAGI,
Mobile-Env: An Evaluation Platform and Benchmark for Interactive Agents in LLM Era,Shanghai Jiao Tong University,,Unified,w/ Feedback,w/o Tools,Prompt Engineering,,,,,"Environment Simulation, Isolated Reasoning, Multi-task Evaluation",w/ Benchmark,2023/5/14,arxiv,https://github.com/X-LANCE/Mobile-Env,https://arxiv.org/abs/2305.08144
Improving Language Model Negotiation with Self-Play and In-Context Learning from AI Feedback,"Allen Institute for AI, University of Edinburgh",Handcrafting,Unified,w/ Feedback,w/o Tools,,,,,,Isolated Reasoning,,2023/5/17,arxiv,https://github.com/FranxYao/GPT-Bargaining,https://arxiv.org/abs/2305.10142
MemoryBank: Enhancing Large Language Models with Long-Term Memory ,Sun Yat-Sen University,,"Hybrid, Read/Write/Reflection",,,,,,,Human Annotation,,,2023/5/17,arxiv,https://github.com/zhongwanjun/MemoryBank-SiliconFriend,https://arxiv.org/abs/2305.10250
Tree of Thoughts: Deliberate Problem Solvingwith Large Language Models,"Google DeepMind, Princeton University",,,w/o Feedback,,Prompt Engineering,,,,,Isolated Reasoning,,2023/5/17,arxiv,https://github.com/princeton-nlp/tree-of-thought-llm,https://arxiv.org/abs/2305.10601
Language Models Meet World Models: Embodied Experiences Enhance Language Models,"University of California San Diego, University of Illinois Urbana-Champaign",,"Hybrid, Read/Write",w/o Feedback,w/o Tools,,,,Robotics & Embodied AI,,,,2023/5/18,arxiv,https://github.com/szxiangjn/world-model-for-language-model,https://arxiv.org/pdf/2305.10626.pdf
AutoAgents,,,"Hybrid, Read/Write",w/ Feedback,w/ Tools,Prompt Engineering,,,,,,,2023/5/19,Github,https://github.com/AutoLLM/AutoAgents,
AutoChain,,,,,,,,,,,,,2023/5/19,Github,https://github.com/Forethought-Technologies/AutoChain,
Introspective Tips: Large Language Model for In-Context Decision Making,Microsoft,,,w/ Feedback,,Prompt Engineering,,,,,,w/ Benchmark,2023/5/19,arxiv,,https://arxiv.org/abs/2305.11598
Augmenting Autotelic Agents with Large Language ModelsSuperAGI,"Massachusetts Institute of Technology, Microsoft Research",,"Hybrid, Read/Write",w/ Feedback,w/o Tools,Mechanism Engineering,,,,,,,2023/5/21,arxiv,,https://arxiv.org/abs/2305.12487
Clembench: Using Game Play to Evaluate Chat-Optimized Language Models as Conversational Agents,University of Potsdam,,,,,,,,,,"Environment Simulation, Multi-task Evaluation",w/ Benchmark,2023/5/22,arxiv,https://github.com/clp-research/clembench,https://arxiv.org/abs/2305.13455
RecurrentGPT: Interactive Generation of (Arbitrarily) Long Text,ETH Zürich,,"Hybrid, Read/Write/Reflection",w/o Feedback,,,,,,Human Annotation,,w/ Benchmark,2023/5/22,arxiv,,https://arxiv.org/abs/2305.13304
Reflective Linguistic Programming (RLP): A Stepping Stone in Socially-Aware AGI (SocialAGI) ,SocialAGI,Handcrafting,"Hybrid, Read/Write/Reflection",w/ Feedback,,Prompt Engineering,,,,,,,2023/5/22,arxiv,,https://arxiv.org/pdf/2305.12647.pdf
ChatCoT: Tool-Augmented Chain-of-Thought Reasoning on Chat-based Large Language Models,Renmin University ofChina,,Unified,w/ Feedback,w/o Tools,,,,,,,,2023/5/23,arxiv,https://github.com/RUCAIBOX/ChatCoT,https://arxiv.org/abs/2305.14323
Improving Factuality and Reasoning in Language Models through Multiagent Debate ,"Brain Team, Google Research, Massachusetts Institute of Technology",,Unified,w/ Feedback,w/o Tools,,,,,,Isolated Reasoning,w/ Benchmark,2023/5/23,arxiv,https://composable-models.github.io/llm_debate/,https://arxiv.org/abs/2305.14325
RET-LLM: Towards a General Read-Write Memory for Large Language Models ,Microsoft,,"Hybrid, Read/Write",,,w/ Fine-tuning,,,,,,,2023/5/23,arxiv,,https://arxiv.org/abs/2305.14322
ReWOO: Decoupling Reasoning from Observations for Efficient Augmented Language Models,"Microsoft, North Carolina State University",,Unified,w/o Feedback,w/ Tools,w/ Fine-tuning,,,,,,,2023/5/23,arxiv,https://github.com/billxbf/ReWOO,https://arxiv.org/pdf/2305.18323.pdf
Two Failures of Self-Consistency in the Multi-Step Reasoning of LLMs ,"Anthropic, Google, New York University",,,,,,,,,,Environment Simulation,w/ Benchmark,2023/5/23,arxiv,,https://arxiv.org/abs/2305.14279
Do LLMs Understand Social Knowledge? Evaluating the Sociability of Large Language Models with SOCKET Benchmark ,University of Michigan,,,,,,,,,,"Multi-task Evaluation, Social Evaluation",w/ Benchmark,2023/5/24,arxiv,,https://arxiv.org/pdf/2305.14938.pdf
Gorilla: Large Language Model Connected with Massive APIs,"Berkeley, University of California",,"Hybrid, Read/Write",,w/ Tools,w/ Fine-tuning,,,,,,w/ Benchmark,2023/5/24,arxiv,https://github.com/ShishirPatil/gorilla,https://arxiv.org/abs/2305.15334
Reasoning with Language Model is Planning with World Model,"Mohamed bin Zayed University of Artificial Intelligence, UC San Diego, University of Florida",,,w/o Feedback,w/o Tools,w/ Fine-tuning,,,,,,,2023/5/24,arxiv,,https://arxiv.org/pdf/2305.14992.pdf
Ghost in the Minecraft: Generally Capable Agents for Open-World Enviroments via Large Language Models with Text-based Knowledge and Memory,Tsinghua University,,"Hybrid, Read/Write/Reflection",w/ Feedback,,,,,,,Environment Simulation,w/ Benchmark,2023/5/25,arxiv,https://github.com/OpenGVLab/GITM,https://arxiv.org/pdf/2305.17144.pdf
Role-Play with Large Language Models,"DeepMind, Eleuther AI, Imperial College London",Handcrafting,,,,,,,,,,,2023/5/25,arxiv,,https://arxiv.org/abs/2305.16367
VOYAGER: An Open-Ended Embodied Agentwith Large Language Models,"Arizona State University, Caltech, NVIDIA, Stanford University, UT Austin",,"Hybrid, Read/Write/Reflection",w/ Feedback,w/o Tools,Mechanism Engineering,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023/5/25,arxiv,https://github.com/MineDojo/Voyager,https://arxiv.org/abs/2305.16291
Distilling Script Knowledge from Large Language Models for Constrained Language Planning,Fudan University,,,w/o Feedback,w/o Tools,w/ Fine-tuning,,,,,,,2023/5/26,ACL,https://github.com/siyuyuan/coscript,https://arxiv.org/pdf/2305.05252.pdf
Large Language Models as Tool Makers,"DeepMind, Princeton University",,"Hybrid, Read/Write",w/ Feedback,w/o Tools,Mechanism Engineering,,,,,,,2023/5/26,arxiv,https://github.com/ctlllll/LLM-ToolMaker,https://arxiv.org/abs/2305.17126
Playing repeated games with Large Language Models ,University of Tübingen,,,,,,Social Simulation,,,,,,2023/5/26,arxiv,https://react-lm.github.io/,https://arxiv.org/abs/2305.16867
SQL-PALM: IMPROVED LARGE LANGUAGE MODEL ADAPTATION FOR TEXT-TO-SQL ,"Cloud AI Research Team, DeepMind",,Unified,w/o Feedback,w/o Tools,w/ Fine-tuning,,,CS&SE,,,w/ Benchmark,2023/5/26,arxiv,,https://arxiv.org/abs/2306.00739
Training Socially Aligned Language Models in Simulated Human Society,"Ann Arbor, Dartmouth College, Google DeepMind, Stanford University, University of British Columbia, University of Michigan",Handcrafting,"Hybrid, Read/Write",w/o Feedback,w/o Tools,w/ Fine-tuning,Social Simulation,,,,"Environment Simulation, Social Evaluation",w/ Benchmark,2023/5/26,arxiv,https://github.com/agi-templar/Stable-Alignment,https://arxiv.org/pdf/2305.16960.pdf
SwiftSage: A Generative Agent with Fast and Slow Thinking for Complex Interactive Tasks,"4Paradigm Inc, Allen Institute for Artificial Intelligence, Tsinghua University, University of Southern California, University of Washington",,"Hybrid, Read/Write",w/ Feedback,w/o Tools,w/ Fine-tuning,,,,,,,2023/5/27,arxiv,https://yuchenlin.xyz/swiftsage/,https://arxiv.org/abs/2305.17390
ToolBench,"Beijing University of Posts and Telecommunications, Carnegie Mellon University, ModelBest Inc., New York University, Renmin University of China, Tsinghua University, University of Illinois Urbana-Champaign, Zhihu Inc.",,,,,,,,,,Multi-task Evaluation,w/ Benchmark,2023/5/28,arxiv,https://github.com/OpenBMB/ToolBench,https://arxiv.org/abs/2304.08354
Encouraging divergent thinking in large language models through multi-agent debate,Tsinghua University,Handcrafting,Unified,w/ Feedback,,,,,,,,,2023/5/30,arxiv,,https://arxiv.org/pdf/2305.19118.pdf
Decision-Oriented Dialogue for Human–AI Collaboration,"Johns Hopkins University, Massachusetts Institute of Technology, Microsoft Semantic Machines, UC Berkeley",,,,,,,,,,Social Evaluation,w/ Benchmark,2023/5/31,arxiv,https://github.com/jlin816/dialop,https://arxiv.org/abs/2305.20076
Minding Language Models’ (Lack of) Theory of Mind: A Plug-and-Play Multi-Character Belief Tracker,"Carnegie Mellon University, University of Washington",,"Hybrid, Read/Write",w/o Feedback,,,,,,,Social Evaluation,w/ Benchmark,2023/6/1,arxiv,,https://arxiv.org/abs/2306.00924
 MULTI-AGENT COLLABORATION: HARNESSING THE POWER OF INTELLIGENT LLM AGENTS ,"University of Alberta, York University",Handcrafting,,w/ Feedback,w/ Tools,w/ Fine-tuning,,,,,,w/ Benchmark,2023/6/5,arxiv,,https://arxiv.org/pdf/2306.03314.pdf
"ChatDB: Augmenting LLMs with Databases as Their Symbolic Memory
",Tsinghua University,,"Hybrid, Read/Write",w/ Feedback,w/ Tools,,,,,,Isolated Reasoning,,2023/6/6,arxiv,,https://arxiv.org/pdf/2306.03901.pdf
Enabling Intelligent Interactions between an Agent and an LLM: A Reinforcement Learning Approach,Zhejiang Lab,,Unified,w/o Feedback,w/o Tools,Mechanism Engineering,,,Robotics & Embodied AI,,Environment Simulation,,2023/6/6,researchgate.net,,https://arxiv.org/abs/2306.03604
Large Language Model Is Semi-Parametric Reinforcement Learning Agent,Shanghai Jiao Tong University,,"Hybrid, Read/Write/Reflection",w/o Feedback,,Mechanism Engineering,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023/6/9,arxiv,,https://arxiv.org/abs/2306.07929
Mind2Web: Towards a Generalist Agent for the Web,The Ohio State University,,,w/o Feedback,w/ Tools,w/ Fine-tuning,,,,,,,2023/6/9,arxiv,https://github.com/OSU-NLP-Group/Mind2Web,https://arxiv.org/abs/2306.06070
RestGPT: Connecting Large Language Models with Real-World Applications via RESTful APIs,Peking University,,,w/ Feedback,w/ Tools,,,,CS&SE,,,,2023/6/11,arxiv,https://restgpt.github.io/,https://arxiv.org/abs/2306.06624
Augmenting Language Models with Long-Term Memory,"Microsoft, University of California",,"Hybrid, Read/Write/Reflection",,w/o Tools,w/ Fine-tuning,,,,,,w/ Benchmark,2023/6/12,arxiv,,https://arxiv.org/abs/2306.07174
AI and the transformation of social science research,University of Waterloo,,,,,,Social Simulation,"Experiment Assistant, Science Education",,,,,2023/6/15,science,,https://www.science.org/doi/full/10.1126/science.adi1778
"GPT Engineer
",,,,,,,,,CS&SE,,,,2023/6/18,Github,https://github.com/AntonOsika/gpt-engineer,
LocalAGI,,,,,,,,,,,,,2023/6/18,Github,https://github.com/EmbraceAGI/LocalAGI,
